ConditionName,SeqID,ConditionCode,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankIPI_ms,RightFlankIPI_ms,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG
two_targets_moving_anchor_random,4440,C5,265,2,23,24,250,9.4,17.8796436361572,0.0400882890611316,30.7898653108971,26.8017064952391,1.72206258343047,1.49900674983472,0.513906695329834,0.513906695329834,1,0
two_targets_moving_anchor_random,4440,C5,266,2,32,33,250,13,11.3997085912121,0.0428457564674417,19.9479546582575,19.1870596188285,1.74986531441998,1.68311842932719,0.327768340319356,0.327768340319356,1,0
two_targets_moving_anchor_random,4440,C5,267,2,35,36,250,14.2,9.7931710075568,0.0257538490909379,19.1870596188285,18.7159960286405,1.95922848728191,1.9111272553291,0.281042300324893,0.281042300324893,1,0
two_targets_moving_anchor_random,4440,C5,268,2,224,225,250,89.8,8.66563813034529,0.0234628153220487,14.4544547580728,14.6137482659207,1.66801965887039,1.68640186055616,0.248898992177109,0.248898992177109,1,0
two_targets_moving_anchor_random,4440,C5,269,3,173,175,250,69.6,8.4995025643236,0.0463377402608365,15.2329867477869,15.5024979927964,1.79222097205157,1.82393003301954,0.242074850852382,0.242074850852382,1,0
two_targets_moving_anchor_random,4455,C5,270,2,121,122,198,61.3636363636364,18.3859434176359,0.0437821528922014,23.0558580609986,38.7913540542223,1.25399374605294,2.10983756302728,0.530062227750028,0.530062227750028,1,0
two_targets_moving_anchor_random,4461,C5,271,2,175,176,250,70.2,11.3279868905806,0.0396613322119419,14.9857192360248,23.4325795099053,1.32289341264031,2.06855637601328,0.325869584781686,0.325869584781686,1,0
two_targets_moving_anchor_random,4462,C5,272,2,59,60,65,91.5384615384615,7.1356955817345,0.0387807425966941,9.06521653725315,8.96246882577983,1.27040404588695,1.25600492945935,0.2057486904476,0.2057486904476,1,0
two_targets_moving_anchor_random,4464,C5,273,2,39,40,86,45.9302325581395,9.93767537905834,0.0402039272349877,17.9917907582977,17.774499324987,1.81046271608064,1.7885972973562,0.286147650116052,0.286147650116052,1,0
two_targets_moving_anchor_random,4480,C5,274,2,129,130,176,73.5795454545455,16.3862999667857,0.0442687054290506,20.0379551337482,20.302921858929,1.2228480605362,1.23901807608076,0.472664500942044,0.432654448950701,1,0
