SeqID,SSG_ID,GroupSize,FirstCall,LastCall,SequenceLength_calls,NormalisedPosition_percent,StableIPI_ms,WithinCV,LeftFlankRatio,RightFlankRatio,AnchorDistance_m,NearestDistance_m,AnchorSameWithinSSG,AnchorSwitchWithinSSG,ConditionName
4073,105,2,51,52,164,31.4024390243902,22.0991881832798,0.0248448933507271,1.31360405516024,1.36298384979842,0.633388033566369,0.633388033566369,1,0,two_targets_moving_anchor_random
4073,106,4,129,132,164,79.5731707317073,37.5755812978247,0.0417507904845438,1.28473481450176,1.22511998416673,1.0790529025703,0.991756063538813,0,1,two_targets_moving_anchor_random
4081,107,2,88,89,146,60.6164383561644,19.1680802214181,0.0432172742246979,1.30371777731848,2.23060422547984,0.552518548162642,0.552518548162642,1,0,two_targets_moving_anchor_random
4101,108,2,2,3,34,7.35294117647059,23.544134066015,0.0222067251750048,1.44647757788428,1.20004394314197,0.678862383155348,0.678862383155348,1,0,two_targets_moving_anchor_random
4201,109,2,67,68,167,40.4191616766467,7.14415792552324,0.0430190405330706,1.32767591683893,1.40992459696939,0.205107141409436,0.205107141409436,1,0,two_targets_moving_anchor_random
4201,110,2,135,136,167,81.1377245508982,7.42484903985463,0.0354688149656875,1.29433661477421,1.2676451859912,0.213518666330808,0.213518666330808,1,0,two_targets_moving_anchor_random
4201,111,3,112,114,167,67.6646706586826,7.69304904630035,0.0440813681964063,1.21690021878239,1.27905581274154,0.220814406002196,0.220814406002196,1,0,two_targets_moving_anchor_random
4203,112,2,7,8,250,3,39.433152722357,0.0388651451222127,1.42498389161678,1.24261861519766,1.13344405947307,1.13344405947307,1,0,two_targets_moving_anchor_random
4203,113,2,157,158,250,63,13.1874922720028,0.0344298891045793,1.25625278802458,1.33315616909934,0.378432853965899,0.378432853965899,1,0,two_targets_moving_anchor_random
4203,114,2,172,173,250,69,13.4987633395633,0.0215372013829671,1.40558200823371,1.49523115369258,0.386800233515082,0.386800233515082,1,0,two_targets_moving_anchor_random
4203,115,2,203,204,250,81.4,17.4711355189175,0.0341137684631545,1.23656235799488,1.26528095147843,0.501969327853406,0.501969327853406,1,0,two_targets_moving_anchor_random
4203,116,3,71,73,250,28.8,10.2454016467994,0.0436975733482918,1.44201348535,1.50617325727561,0.291408737113264,0.291408737113264,1,0,two_targets_moving_anchor_random
4204,117,2,36,37,71,51.4084507042254,7.33191059523301,0.0488274741035505,2.52662214555582,2.36807196063272,0.210909105038942,0.210909105038942,1,0,two_targets_moving_anchor_random
4204,118,2,54,55,71,76.7605633802817,7.51409737724374,0.0433708645487323,1.55555930888127,1.57733906366107,0.215983580368156,0.215983580368156,1,0,two_targets_moving_anchor_random
4204,119,2,57,58,71,80.9859154929577,6.83234040107571,0.048534116810628,1.73473196965035,1.75133264424584,0.196329509257731,0.196329509257731,1,0,two_targets_moving_anchor_random
4206,120,2,32,33,45,72.2222222222222,5.96391298218579,0.0243071888251331,1.94017216191024,1.85478926677573,0.17109612478136,0.17109612478136,1,0,two_targets_moving_anchor_random
4206,121,2,39,40,45,87.7777777777778,6.0948074992975,0.0398852394341468,1.26375566527193,1.23174728549909,0.174874390287343,0.174874390287343,1,0,two_targets_moving_anchor_random
4207,122,2,100,101,130,77.3076923076923,8.14076613300131,0.0163505586012925,1.25545044525291,1.25019017955605,0.233205192567638,0.233205192567638,1,0,two_targets_moving_anchor_random
4209,123,2,18,19,88,21.0227272727273,20.1648375339732,0.019451851857911,1.38910022529572,1.2520535436915,0.578438833531151,0.578438833531151,1,0,two_targets_moving_anchor_random
4210,124,2,44,45,250,17.8,9.57113987581081,0.0389143868321118,2.1796984402465,2.22097355500633,0.274715031967155,0.274715031967155,1,0,two_targets_moving_anchor_random
4210,125,2,173,174,250,69.4,16.0754287273771,0.0358783932613311,1.23630809990777,1.31296464123393,0.461374389482415,0.461374389482415,1,0,two_targets_moving_anchor_random
4210,126,2,206,207,250,82.6,13.2865951677297,0.0363655745093118,1.49882179931433,1.52841689567612,0.381613834971717,0.381613834971717,1,0,two_targets_moving_anchor_random
4210,127,3,79,81,250,32,14.3959336216923,0.0478820586125484,1.26029544390256,1.35392220402249,0.418399314783536,0.418399314783536,1,0,two_targets_moving_anchor_random
4212,128,2,91,92,95,96.3157894736842,6.09404026814496,0.0442468568734005,1.70343972935884,1.76139366202766,0.175014185656692,0.175014185656692,1,0,two_targets_moving_anchor_random
4213,129,2,44,45,67,66.4179104477612,6.86430904709737,0.0236855720646434,1.46498736290509,1.46240108027539,0.196964026539066,0.196964026539066,1,0,two_targets_moving_anchor_random
4217,130,2,36,37,123,29.6747967479675,6.35460941894549,0.0489928183587673,1.8403799655168,1.78206582719372,0.182806588610215,0.182806588610215,1,0,two_targets_moving_anchor_random
4217,131,2,78,79,123,63.8211382113821,7.23370811303743,0.0479602885559559,1.24683989728585,1.32430764004891,0.207829716857856,0.207829716857856,1,0,two_targets_moving_anchor_random
4219,132,2,5,6,87,6.32183908045977,44.3191468159579,0.0373236107085571,1.54643099084438,1.26973359739756,1.27267118696042,1.27267118696042,1,0,two_targets_moving_anchor_random
4219,133,2,83,84,87,95.9770114942529,5.92755113301373,0.0405959077853904,2.22579206340063,2.24784288062841,0.170442589492434,0.170442589492434,1,0,two_targets_moving_anchor_random
4222,134,2,18,19,32,57.8125,18.1816434299752,0.0377734352846372,1.64256834737835,1.44846014913247,0.52293631105216,0.52293631105216,1,0,two_targets_moving_anchor_random
4225,135,2,75,76,250,30.2,8.74611967520813,0.0476234547723614,1.4755430087319,1.52335918000656,0.25170632588225,0.25170632588225,1,0,two_targets_moving_anchor_random
4225,136,2,112,113,250,45,9.01467604455162,0.0408567843099601,1.54397772232638,1.59855801649516,0.259189946706498,0.259189946706498,1,0,two_targets_moving_anchor_random
4225,137,2,139,140,250,55.8,10.4976231576635,0.0433930016419445,1.2167229720316,1.36311941048152,0.301355654941532,0.301355654941532,1,0,two_targets_moving_anchor_random
4225,138,2,144,145,250,57.8,10.242598090545,0.0453155544116643,1.31136794300594,1.32541578132681,0.294494023084584,0.294494023084584,1,0,two_targets_moving_anchor_random
4225,139,2,156,157,250,62.6,8.33652792547177,0.0368161468977901,1.69668689384205,1.7398078434696,0.239477469626839,0.239477469626839,1,0,two_targets_moving_anchor_random
4227,140,2,49,50,70,70.7142857142857,5.72531290586617,0.0354936164677498,1.45630051721418,1.54712553905254,0.16429664429585,0.16429664429585,1,0,two_targets_moving_anchor_random
4230,141,2,33,34,250,13.4,8.04799467716138,0.0369628906214014,2.48429223106424,2.43890093033155,0.230798226965852,0.230798226965852,1,0,two_targets_moving_anchor_random
4230,142,2,120,121,250,48.2,11.7642560325091,0.0150079208862661,1.29378547548127,1.33268695660495,0.337694055432816,0.337694055432816,1,0,two_targets_moving_anchor_random
4230,143,2,211,212,250,84.6,9.96175749299026,0.0309013171439645,1.45039317295998,1.56688915655001,0.286085060245396,0.286085060245396,1,0,two_targets_moving_anchor_random
4230,144,3,178,180,250,71.6,8.520206750091,0.0364590548079638,1.72442334044994,1.77681723254863,0.245175503595697,0.245175503595697,1,0,two_targets_moving_anchor_random
4231,145,2,77,78,208,37.2596153846154,6.86211929198934,0.0420319371470646,1.87711653361605,1.91814518152596,0.197505311400944,0.197505311400944,1,0,two_targets_moving_anchor_random
4231,146,2,95,96,208,45.9134615384615,9.26511829172848,0.0302529928785507,1.28720074729299,1.39004964346043,0.266185389400283,0.266185389400283,1,0,two_targets_moving_anchor_random
4232,147,2,81,82,250,32.6,10.3485529105751,0.0450957455521747,1.64201328869338,1.71142070405293,0.29723308081751,0.29723308081751,1,0,two_targets_moving_anchor_random
4232,148,2,89,90,250,35.8,12.4052580330846,0.0318520746702536,1.24921578059945,1.25220371149837,0.3559058434528,0.3559058434528,1,0,two_targets_moving_anchor_random
4232,149,2,101,102,250,40.6,12.4383778768238,0.0244537244077777,1.40606476411597,1.40032436816901,0.357075939404763,0.357075939404763,1,0,two_targets_moving_anchor_random
